property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_791302099915563534,791302099915563534,,entire_place,2.0,2.0,4.0,4.5,35.0,Spacious apartment in the colonial zone,59461906.05,60341600.36,62.4,265454.95,359.0,84832,Santo Domingo City,cop,Low,18.46973,-69.88669,141879
vrbo_4710094,,4710094,entire_place,3.0,3.0,6.0,5.0,1.0,Casa de Juanchy - Charming 3-bedroom villa in Santo Domingo with AC,59142750.9,66247217.91,79.45,509851.31,146.0,84832,Santo Domingo City,cop,Low,18.468508,-69.88788,141879
abnb_47949332,47949332,3230732,entire_place,2.0,2.0,4.0,4.8,313.0,Escape to tropic haven at colonial zone,59076718.8,63624826.43,47.16,373903.28,335.0,84832,Santo Domingo City,cop,Low,18.47589,-69.88446,141879
abnb_39832310,39832310,3056848,entire_place,2.0,2.0,4.0,4.6,97.0,Bright & Clean 2BR in BEST Colonial Zone Location,58948323.05,58948323.05,46.58,346754.84,365.0,84832,Santo Domingo City,cop,Medium,18.4774,-69.8842,141879
abnb_32465705,32465705,,entire_place,2.0,2.0,4.0,4.9,64.0,Colonial Zone.,58530119.75,62789850.52,83.78,206091.97,339.0,84832,Santo Domingo City,cop,Low,18.46974,-69.8842,141879
abnb_1266247075928139179,1266247075928139179,,entire_place,3.0,2.0,6.0,4.9,92.0,Zona Colonial modern 3br 2 bath,57917488.6,62566221.81,59.29,288146.71,339.0,84832,Santo Domingo City,cop,Low,18.467913609,-69.88872521,141879
vrbo_2576846,,2576846,entire_place,4.0,4.0,9.0,4.9,,"Your cosy, newly renovated place in the Dominican Colonial Zone",57858793.4,120894613.49,35.42,1134486.14,144.0,84832,Santo Domingo City,cop,Low,18.469984,-69.890015,141879
abnb_33213731,33213731,3056850,entire_place,2.0,3.0,4.0,4.7,76.0,Spacious 2BR Apt Prime-Location Colonial Zone,56615188.85,56988270.21,48.47,325374.65,359.0,84832,Santo Domingo City,cop,Medium,18.4773,-69.8843,141879
abnb_823861251945264033,823861251945264033,,entire_place,2.0,2.0,4.0,4.7,27.0,Your peace,55892504.2,56549266.8,59.28,261179.92,361.0,84832,Santo Domingo City,cop,High,18.4688,-69.8877,141879
abnb_1047910207883563113,1047910207883563113,,entire_place,2.0,2.0,4.0,4.7,97.0,Centrally located apartment in Colonial Zone,55250525.45,56171416.45,72.14,213322.49,359.0,84832,Santo Domingo City,cop,Low,18.47473,-69.88703,141879
